Flag CONTROL_FLAG_C_MGR, set 1.
Flag CONTROL_FLAG_DMA, set 0.
Flag CONTROL_FLAG_IDLE_ENABLE, set 0.
Flag CONTROL_FLAG_TRACKER, set 1.
Flag CONTROL_FLAG_SPDIF2OUT, set 1.
Flag CONTROL_FLAG_DMIC, set 0.
Flag CONTROL_FLAG_ADC_B_96KHZ, set 1.
Flag CONTROL_FLAG_ADC_C_96KHZ, set 1.
Flag CONTROL_FLAG_DAC_96KHZ, set 1.
Flag CONTROL_FLAG_DSP_96KHZ, set 1.
Flag CONTROL_FLAG_SRC_CLOCK_196MHZ, set 1.
Flag CONTROL_FLAG_SRC_RATE_96KHZ, set 1.
Flag CONTROL_FLAG_DECODE_LOOP, set 1.
Flag CONTROL_FLAG_DAC1_DEEMPHASIS, set 0.
Flag CONTROL_FLAG_DAC2_DEEMPHASIS, set 0.
Flag CONTROL_FLAG_DAC3_DEEMPHASIS, set 0.
Flag CONTROL_FLAG_ADC_B_HIGH_PASS, set 1.
Flag CONTROL_FLAG_ADC_C_HIGH_PASS, set 1.
Flag CONTROL_FLAG_PORT_A_COMMON_MODE, set 0.
Flag CONTROL_FLAG_PORT_D_COMMON_MODE, set 0.
Flag CONTROL_FLAG_PORT_A_10KOHM_LOAD, set 0.
Flag CONTROL_FLAG_PORT_D_10KOHM_LOAD, set 0.
Flag CONTROL_FLAG_ASI_96KHZ, set 1.
Flag CONTROL_FLAG_DACS_CONTROL_PORTS, set 1.
Flag CONTROL_FLAG_CONTROL_STOP_OK_ENABLE, set 1.
