16231@1772032175.025921:vfio_region_read  (0000:25:00.0:region2+0x400, 4) = 0x0
16231@1772032175.025944:vfio_region_write  (0000:25:00.0:region2+0x400, 0x1, 4)
16231@1772032175.025952:vfio_region_read  (0000:25:00.0:region2+0x400, 4) = 0x1
16231@1772032175.026070:vfio_region_read  (0000:25:00.0:region2+0x408, 4) = 0x0
16231@1772032175.026074:vfio_region_write  (0000:25:00.0:region2+0x408, 0x1, 4)
16231@1772032175.026080:vfio_region_read  (0000:25:00.0:region2+0x408, 4) = 0x1
16231@1772032175.026116:vfio_region_read  (0000:25:00.0:region2+0x40c, 4) = 0x0
16231@1772032175.026120:vfio_region_write  (0000:25:00.0:region2+0x40c, 0x1, 4)
16231@1772032175.026126:vfio_region_read  (0000:25:00.0:region2+0x40c, 4) = 0x1
16231@1772032175.090760:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x0, 1)
16231@1772032175.216252:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.216942:vfio_region_write  (0000:25:00.0:region0+0x44, 0x0, 4)
16231@1772032175.216945:vfio_region_write  (0000:25:00.0:region0+0x40, 0x7ecc9000, 4)
16231@1772032175.216949:vfio_region_write  (0000:25:00.0:region0+0x54, 0x0, 4)
16231@1772032175.216952:vfio_region_write  (0000:25:00.0:region0+0x50, 0x7ecc9800, 4)
16231@1772032175.247781:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x0
16231@1772032175.247785:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x1, 1)
16231@1772032175.248074:vfio_region_write  (0000:25:00.0:region0+0x44, 0x0, 4)
16231@1772032175.248078:vfio_region_write  (0000:25:00.0:region0+0x40, 0x7ecc9000, 4)
16231@1772032175.248082:vfio_region_write  (0000:25:00.0:region0+0x54, 0x0, 4)
16231@1772032175.248086:vfio_region_write  (0000:25:00.0:region0+0x50, 0x7ecc9800, 4)
16231@1772032175.279265:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x0
16231@1772032175.279269:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x1, 1)
16231@1772032175.279322:vfio_region_write  (0000:25:00.0:region0+0x48, 0x3, 1)
16231@1772032175.279329:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x1
16231@1772032175.279333:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.279345:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.279537:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x3
16231@1772032175.279547:vfio_region_write  (0000:25:00.0:region0+0x48, 0x5, 1)
16231@1772032175.279554:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.279558:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.279565:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.279714:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x5
16231@1772032175.279722:vfio_region_write  (0000:25:00.0:region0+0x48, 0x6, 1)
16231@1772032175.279729:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.279733:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.279739:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.279858:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x6
16231@1772032175.279867:vfio_region_write  (0000:25:00.0:region0+0x48, 0x9, 1)
16231@1772032175.279873:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.279877:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.279883:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.280042:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x9
16231@1772032175.280050:vfio_region_write  (0000:25:00.0:region0+0x48, 0xb, 1)
16231@1772032175.280056:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.280059:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.280065:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.280202:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0xb
16231@1772032175.280208:vfio_region_write  (0000:25:00.0:region0+0x48, 0xc, 1)
16231@1772032175.280214:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.280217:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.280223:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.280347:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0xc
16231@1772032175.428564:vfio_region_write  (0000:25:00.0:region0+0x48, 0xd, 1)
16231@1772032175.428579:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.428584:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.428590:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.428735:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0xd
16231@1772032175.428872:vfio_region_write  (0000:25:00.0:region0+0x48, 0xf, 1)
16231@1772032175.428882:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.428886:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.428892:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429071:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0xf
16231@1772032175.429077:vfio_region_write  (0000:25:00.0:region0+0x48, 0x10, 1)
16231@1772032175.429083:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429086:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.429092:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429236:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x10
16231@1772032175.429241:vfio_region_write  (0000:25:00.0:region0+0x48, 0x11, 1)
16231@1772032175.429247:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429250:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.429256:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429491:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x11
16231@1772032175.429497:vfio_region_write  (0000:25:00.0:region0+0x48, 0x12, 1)
16231@1772032175.429503:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429506:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
