16231@1772032175.039009:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6d
16231@1772032175.039031:vfio_region_write  (0000:25:00.0:region2+0x800, 0x6b, 4)
16231@1772032175.042372:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6b
16231@1772032175.069499:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6b
16231@1772032175.069504:vfio_region_write  (0000:25:00.0:region2+0x800, 0x6b, 4)
16231@1772032175.069510:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6b
16231@1772032175.069516:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x57
16231@1772032175.069520:vfio_region_write  (0000:25:00.0:region2+0x804, 0x57, 4)
16231@1772032175.069526:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x57
16231@1772032175.451057:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6b
16231@1772032175.451060:vfio_region_write  (0000:25:00.0:region2+0x800, 0x6b, 4)
16231@1772032175.451134:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6b
16231@1772032175.466892:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6b
16231@1772032175.466963:vfio_region_write  (0000:25:00.0:region2+0x800, 0x6b, 4)
16231@1772032175.466970:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6b
16231@1772032175.466976:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x57
16231@1772032175.466979:vfio_region_write  (0000:25:00.0:region2+0x804, 0x57, 4)
16231@1772032175.466985:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x57
16231@1772032175.482725:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x57
16231@1772032175.482728:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032175.482734:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032175.514368:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032175.514372:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032175.514378:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032175.533716:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032175.533719:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032175.533725:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032175.546000:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032175.546004:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032175.546010:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.343535:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.343538:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.343544:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.352185:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.352189:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.352195:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.367717:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.367720:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.367726:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.383755:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.383759:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.383765:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.399751:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.399754:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.399761:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.415315:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.415319:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.415325:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.430859:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.430863:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.430869:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.446834:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.446837:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.446843:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.462113:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.462117:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.462124:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.477919:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.477923:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.477929:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.586639:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6b
16231@1772032180.586644:vfio_region_write  (0000:25:00.0:region2+0x800, 0x6b, 4)
16231@1772032180.586650:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6b
16231@1772032180.601927:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6b
16231@1772032180.601931:vfio_region_write  (0000:25:00.0:region2+0x800, 0x6b, 4)
16231@1772032180.601938:vfio_region_read  (0000:25:00.0:region2+0x800, 4) = 0x6b
16231@1772032180.601944:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.601948:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.601954:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.602047:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.602051:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.602057:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.633310:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.633317:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.633324:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.648544:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.648548:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032180.648555:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032180.664614:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032180.664617:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.664624:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.694826:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.694830:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.694836:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.696167:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.696170:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.696176:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.714372:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.714375:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.714381:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.743898:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.743902:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.743912:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.759887:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.759891:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.759897:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.775727:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.775731:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.775738:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
