16231@1772032175.090768:vfio_region_write  (0000:25:00.0:region0+0x68, 0x5, 1)
16231@1772032175.090772:vfio_region_write  (0000:25:00.0:region0+0x68, 0x0, 1)
16231@1772032175.090775:vfio_region_write  (0000:25:00.0:region0+0x68, 0x4, 1)
16231@1772032175.090854:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x4
16231@1772032175.090863:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x4
16231@1772032175.090867:vfio_region_write  (0000:25:00.0:region0+0x68, 0x6, 2)
16231@1772032175.090870:vfio_region_write  (0000:25:00.0:region0+0x60, 0x100f0000, 4)
16231@1772032175.090876:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x4
16231@1772032175.090879:vfio_region_write  (0000:25:00.0:region0+0x68, 0x5, 2)
16231@1772032175.090885:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x5
16231@1772032175.106543:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x16
16231@1772032175.106558:vfio_region_read  (0000:25:00.0:region0+0x64, 4) = 0x11020011
16231@1772032175.122286:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x16
16231@1772032175.122296:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x16
16231@1772032175.122300:vfio_region_write  (0000:25:00.0:region0+0x68, 0x16, 2)
16231@1772032175.122303:vfio_region_write  (0000:25:00.0:region0+0x60, 0x101f2000, 4)
16231@1772032175.122309:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x4
16231@1772032175.122313:vfio_region_write  (0000:25:00.0:region0+0x68, 0x5, 2)
16231@1772032175.122319:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x5
16231@1772032175.138105:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x16
16231@1772032175.138119:vfio_region_read  (0000:25:00.0:region0+0x64, 4) = 0x11020071
16231@1772032175.153628:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x16
16231@1772032175.153643:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x16
16231@1772032175.153648:vfio_region_write  (0000:25:00.0:region0+0x68, 0x16, 2)
16231@1772032175.153652:vfio_region_write  (0000:25:00.0:region0+0x60, 0x200f0000, 4)
16231@1772032175.153658:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x4
16231@1772032175.153661:vfio_region_write  (0000:25:00.0:region0+0x68, 0x5, 2)
16231@1772032175.153667:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x5
16231@1772032175.168887:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x26
16231@1772032175.168898:vfio_region_read  (0000:25:00.0:region0+0x64, 4) = 0x11020011
16231@1772032175.184653:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x26
16231@1772032175.184668:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x26
16231@1772032175.184673:vfio_region_write  (0000:25:00.0:region0+0x68, 0x26, 2)
16231@1772032175.184676:vfio_region_write  (0000:25:00.0:region0+0x60, 0x201f2000, 4)
16231@1772032175.184683:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x4
16231@1772032175.184686:vfio_region_write  (0000:25:00.0:region0+0x68, 0x5, 2)
16231@1772032175.184692:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x5
16231@1772032175.200470:vfio_region_read  (0000:25:00.0:region0+0x68, 2) = 0x26
16231@1772032175.200482:vfio_region_read  (0000:25:00.0:region0+0x64, 4) = 0x11020072
