3922@1775252440.614467:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614473:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614478:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614484:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614490:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614495:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614501:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614506:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614512:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614518:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614523:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614529:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614534:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614540:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614545:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614551:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614557:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614562:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614568:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614573:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614579:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614584:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614590:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614596:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614601:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614607:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614612:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614618:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614623:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614629:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614634:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614640:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614646:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614652:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614657:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614663:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614669:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614674:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614680:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614685:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614691:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
