16231@1772032175.279537:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x3
16231@1772032175.279714:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x5
16231@1772032175.279858:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x6
16231@1772032175.280042:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x9
16231@1772032175.280202:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0xb
16231@1772032175.280347:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0xc
16231@1772032175.428735:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0xd
16231@1772032175.429071:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0xf
16231@1772032175.429236:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x10
16231@1772032175.429491:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x11
16231@1772032175.429666:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x12
16231@1772032175.429827:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x13
16231@1772032175.429980:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x14
16231@1772032175.430126:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x15
16231@1772032175.430278:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x16
16231@1772032175.430439:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x17
16231@1772032175.430590:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x18
16231@1772032175.430732:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x19
16231@1772032175.430876:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x1a
16231@1772032175.431015:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x1b
16231@1772032175.431161:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x1c
16231@1772032175.431516:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x27
16231@1772032175.431663:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x28
16231@1772032175.432273:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x3f
16231@1772032175.432412:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x40
